id,title,author,age,annotation,cover_image
revizor,Ревизор,Н.В.Гоголь,12+,"Концепты: предательство, преступление, социальная_несправедливость, лицемерие, вина, общественное_мнение, общественные_пороки, лицемерие_личности, роль_личности_в_истории, несправедливость, бунт_против_судьбы, жертва",/covers/a0e5eefc41be46e49478bff630c1d322.jpg
ruslan_i_ludmila,Руслан и Людмила,А.С.Пушкин,12+,"Концепты: гордыня, миф, героизм, бунт_против_судьбы, искупление, власть_и_народ, предательство, разрушение_идеалов, лицемерие_личности, тьма, жертва, вера_и_сомнение",/covers/bf05e0a25cbe4614b0d8771dd833ab3b.jpg
skot_dvor,Скотный двор,Джордж Оруэлл,12+,"Концепты: исторический_выбор, легенда, революция, деревня, антиутопия, крестьянская_доля, фольклор, нравственные_идеалы, историческая_память, эпоха, человек_и_природа, бунт_против_судьбы",/covers/8ee7e453318448ca9beb9c38d420e53c.jpg
sobachye_serdce,Собачье сердце,М.А.Булгаков,12+,"Концепты: тирания, жертва, антиутопия, миф, психоз, литература, гордыня, характер, жизненный_путь, цинизм, инфантильность, фольклор",/covers/98f5cba01a9c4a1286d9bb88bda5c3e2.jpg
sto_let_odinochestva,Сто лет одиночества,Габриэль Гарсиа Маркес,16+,"Концепты: духовность, деревня, традиции, культура, миф, небытие, легенда, историческая_память, народная_жизнь, антиутопия, безумие, культурная_идентичность",/covers/62288e5f223044daaca369a38b46c628.webp
sudba_cheloveka,Судьба человека,М.А.Шолохов,16+,"Концепты: литература, война, героизм, тирания, страдание, война_и_общество, солдатская_судьба, судьба, жертвы_войны, утраты_на_войне, бунт_против_судьбы, жертва",/covers/81431457c6154dff826065d29409eb1d.webp
temnye_allei,Темные аллеи,И.А.Бунин,16+,"Концепты: любовь_и_разочарование, любовь, романтизм, чувство_собственного_достоинства, зависть, эмоциональное_выгорание, чинопочитание, любовь_и_прощение, любовь_и_долг, эмпатия, страсть, любовь_и_верность",/covers/54f2ed29b2434579a92205c43401b9f4.jpg
tihi_don,Тихий дон,М.А.Шолохов,18+,"Концепты: война, легенда, тирания, гражданская_война, утраты_на_войне, несчастье, бунт_против_судьбы, война_и_личность, жертва, несправедливость, героизм, страдание",/covers/4a9c7e08264e479e9763e2d627f54c71.webp
tri_sestry,Три сестры,А.П.Чехов,12+,"Концепты: идеология, реализм, жизненный_путь, миф, родина, судьба, жертвы_войны, утопия, народная_жизнь, дружба, надежда, народ",/covers/becd8e0724334c188b0614ab09e4588a.jpg
ubit_peresmeshnika,Убить пересмешника,Харпер Ли,12+,"Концепты: фольклор, тьма, тирания, характер, литература, деревня, гордыня, миф, чинопочитание, судьба, роль_личности_в_истории, детство",/covers/9c6503651b1f45729f366a997d761fdd.jpg
uliss,Улисс,Джеймс Джойс,18+,"Концепты: гордыня, религия, прошлое, искусство, свет, эпоха, утопия, фольклор, время_как_символ, миф, бытие, легенда",/covers/ab5bd48877464e5f93b3c9ce496b81cd.jpg
unesennye_vetrom,Унесенные ветром,Маргарет Митчелл,16+,"Концепты: бунт_против_судьбы, война, бунт, жертвы_войны, жестокость_войны, послевоенная_травма, легенда, литература, идеология, утраты_на_войне, историческая_память, консерватизм",/covers/4967190803e042c9b6ec90b7869fa242.jpg
chernaya_kur,Черная курица или Подземные жители,А.Погорельский,9+,"Концепты: деревня, прошлое, историческая_память, детство, аллегория, миф, бытие, эпоха, судьба, смысл_жизни, народная_жизнь, жизненный_путь",/covers/fb3d4c85a9d3424e98d0a6af5472b362.webp
451_gradus_po_farengeytu,451 градус по Фаренгейту,Рэй Брэдбери,16+,"451° по Фаренгейту – температура, при которой воспламеняется и горит бумага. Философская антиутопия Брэдбери рисует беспросветную картину развития постиндустриального общества: это мир будущего, в котором все письменные издания безжалостно уничтожаются специальным отрядом пожарных, а хранение книг преследуется по закону, интерактивное телевидение успешно служит всеобщему оболваниванию, карательная психиатрия решительно разбирается с редкими инакомыслящими, а на охоту за неисправимыми диссидентами выходит электрический пес",/covers/8b90419912484237aeb729f72e284466.jpg
